date;conflict;similarity;knowledge;power;status;support;identity;romance;trust;fun;conflict_sd;similarity_sd;knowledge_sd;power_sd;status_sd;support_sd;identity_sd;romance_sd;trust_sd;fun_sd;conflict_n_posts;similarity_n_posts;knowledge_n_posts;power_n_posts;status_n_posts;support_n_posts;identity_n_posts;romance_n_posts;trust_n_posts;fun_n_posts;event_type;period_type;event_id;closing_price
2022-01-31;1.4324161828033397;-0.9305863759245049;0.10421731300928459;0.9740061942616809;0.281800395038432;-0.4571068604642684;1.1834225885519338;0.18420145584545056;0.5507823919263533;0.4485400298815756;1.107606945341233;0.007188287390839628;0.019979530322226078;1.5556608718863194;0.004682187932883991;-0.15691066120370778;-0.39173187436335766;-0.4746235200397785;-1.2749638723914771;-0.6144263261514451;19;20;254;10;24;34;16;2;62;30;positive;before;2;38483.12630927304
2022-02-01;0.5800275349438376;-1.1045714850519532;-0.4897490395045417;0.5174142611693586;0.42625430285972127;-0.6038713021098316;1.1834225885519338;0.5303454352985643;0.2244068980189632;0.4943104358463295;1.2811399524374807;-0.13537234065397397;0.6658999347812354;2.1467327266210305;0.01863189159605484;-0.10608949367256677;-0.39173187436335766;-0.6835732571210548;-0.6461472808905323;-0.5973828566848914;2;7;149;14;8;25;7;1;38;16;positive;before;2;38743.272569369816
2022-02-02;0.37707785688205153;-0.8870900986426421;-0.7181976366252433;-0.015276327438354163;0.7633134211093946;-0.04616642385670029;0.757478530717778;0.18420145584545056;0.27461851246625296;0.4027696239168217;1.2404544243609499;-0.5165154034803936;0.7025020322311146;2.5164941693842895;0.0828386036123573;-0.42752967714925577;-0.43157030608515273;-0.4746235200397785;-0.6953040710929254;-0.7571437434790514;9;13;155;9;5;17;14;0;36;9;positive;before;2;36952.98493275946
2022-02-03;-0.1505913060785914;-0.45212732582401977;-0.6382406276329992;0.5174142611693571;0.7633134211093946;-0.6625770787680542;0.4735158254950067;-0.16194252360766317;-0.17728601755936818;1.043555307423369;0.44447072959280504;-0.7800205048472151;0.6427998604061786;2.779286948700064;0.0828386036123573;-0.6353394199902191;-0.714464179906586;-0.6835732571210552;-0.11161422046205367;-0.567360739707808;33;22;250;8;25;39;23;0;65;26;positive;before;2;37154.60024460736
2022-02-04;0.4988476637191238;-0.2781422166965713;-0.6953527769131745;0.745710227715519;0.9559186315377778;-0.33969530714782215;0.8994598833291624;-0.5080865030607771;-0.5789789331376957;0.5400808418110834;1.2502537922902264;-0.65383366745059;0.6606353016312504;2.686737288867965;0.40090277865310775;-0.6239848016916733;-0.6920693852681212;-0.9832635392837744;0.16016536345654103;-0.07980059180521251;10;19;215;5;21;35;20;1;47;29;positive;during;2;41500.87538231141
2022-02-05;0.7423872773932668;0.06982800155832639;-0.9238013740338796;-0.7762628825922281;0.8596160263235852;-0.5745184137807192;0.8994598833291633;-1.2003744619670045;-0.6794021620322771;0.4485400298815756;0.7572648142605823;-0.993318221504185;0.3643855240384784;0.7670785775286972;0.5642121712044724;-1.0309212971981978;-0.6920693852681212;-1.4446709260008228;-0.037606652210371426;-0.16252935326606818;19;14;246;6;24;47;17;0;58;32;positive;during;2;41441.1648206042
2022-02-06;0.5800275349438376;-0.2781422166965713;-0.9694910934580171;-0.9284601936230031;1.6300368680371244;-0.16357797717314881;-0.047082467413406055;-0.508086503060777;-0.9304602342687335;1.1808665253176307;0.8768957099696176;-1.1833666065180606;0.255469050631409;0.49782562245473294;-0.4188401577351856;-0.9119083316808445;-0.19883539313141552;-0.9832635392837744;-0.37725050119024167;-0.6087324836797304;22;22;244;19;23;31;20;1;44;36;positive;during;2;42412.43423591741
2022-02-07;0.3364879212696954;-0.27814221669657047;-0.9580686636019827;-0.24357229398451677;0.8114647237164895;-0.5745184137807192;0.04757176766085107;-0.508086503060777;-1.307047342623415;1.3639481491766428;0.4823447397949368;-1.1833666065180606;0.2528103895871674;0.7244478007604328;0.9274353974924382;-0.13816795269782842;-0.03944869190927705;-0.9832635392837744;-0.5046751009866964;-0.7014203840932695;35;24;249;13;28;45;25;1;46;19;positive;during;2;43840.28657610548
2022-02-08;0.41766779249441;-0.14765338485098395;0.1955967518575631;-0.015276327438353424;0.1854977898242395;-1.0148117387173985;-0.14173670248766226;-0.8542304825138909;-0.8802486198214418;0.7689328716348492;0.3592707216572247;-1.1749212841590724;0.39484793518178435;0.3390994175572549;1.6736349003297153;0.6728174569058464;-0.031700309795686527;-0.9189375443871429;-0.49542869184605176;0.2790701939623631;5;11;139;4;7;21;7;0;36;15;positive;during;2;44118.44625972839
2022-02-09;0.7017973417809099;0.11332427884018828;0.22986404142566977;0.13692098359242016;-0.15156132842543385;-1.3963992869958552;-0.3310451726361774;-0.8542304825138909;-1.0559892703869607;0.7231624656700953;0.46545107893201604;-1.780119804544883;0.3602254070104694;0.06565146024647053;1.5068370730489395;0.3883048424431295;0.10451741892958;-0.9189375443871429;-0.45398222244544867;0.24517308568069188;7;9;153;8;13;24;4;1;31;17;positive;during;2;44338.79775741671
2022-02-10;0.8416415474275543;-0.04671545894498308;0.3492618578343052;-0.45695834583682443;-0.6709337756302184;-1.529570279084424;0.02300501962631065;-1.2003744619670045;-0.6785716900376035;0.10031225931004313;0.5278295099123588;-1.6594286462262764;0.24031694111300395;-0.5802826730892165;1.4301567142016771;0.5203460418952659;0.6339660483362997;-0.9189375443871429;-0.76118556250379;-0.061821481746826036;27;22;251;17;8;25;25;0;50;30;positive;after;2;43565.112172844536
