,Date,Open,High,Low,Close,Volume,Market Cap
105,2022-06-05,1.59437978049e-09,1.6229799084e-09,1.56812746733e-09,1.59188789675e-09,6989.93,0
106,2022-06-04,1.68326385369e-09,1.69064022027e-09,1.59040927802e-09,1.59437978049e-09,8383.98,0
107,2022-06-03,1.79481948491e-09,1.82596635552e-09,1.66016074731e-09,1.68326385369e-09,7177.03,0
108,2022-06-02,1.776735316e-09,1.80297955821e-09,1.74337172597e-09,1.79481948491e-09,4987.36,0
109,2022-06-01,1.89643368064e-09,1.913364175e-09,1.74948161904e-09,1.776735316e-09,13971.83,0
110,2022-05-31,1.72920002234e-09,1.90665030475e-09,1.6934651505e-09,1.89643368064e-09,18683.05,0
111,2022-05-30,1.73305427473e-09,1.76436734001e-09,1.65934865737e-09,1.72920002234e-09,12324.4,0
112,2022-05-29,1.69935256727e-09,1.75029957169e-09,1.63041676768e-09,1.73305425372e-09,26151.08,0
113,2022-05-28,1.54108622179e-09,1.70390677723e-09,1.51568118735e-09,1.69935256727e-09,34429.07,0
114,2022-05-27,1.49173193139e-09,1.54843806755e-09,1.4640008755e-09,1.51945316748e-09,30449.56,0
115,2022-05-26,1.59130974507e-09,1.61749441899e-09,1.45434880514e-09,1.49173193139e-09,31684.3,0
116,2022-05-25,1.53890933872e-09,1.62632145429e-09,1.53860262346e-09,1.59130974507e-09,36162.45,0
117,2022-05-24,1.54125322875e-09,1.60215390557e-09,1.52142870797e-09,1.53890933872e-09,47689.01,0
118,2022-05-23,1.56568487979e-09,1.6385724783e-09,1.53756107581e-09,1.54125412375e-09,42953.3,0
119,2022-05-22,1.53984870727e-09,1.58339958135e-09,1.53247234841e-09,1.56568487979e-09,63935.22,0
120,2022-05-21,1.55463907316e-09,1.81958994698e-09,1.53703906803e-09,1.53984870727e-09,109580.98,0
121,2022-05-20,1.59537424098e-09,1.62668356066e-09,1.50812055741e-09,1.55463907316e-09,87804.66,0
122,2022-05-19,1.66666966824e-09,2.13411687954e-09,1.50789432796e-09,1.59537424098e-09,124758.09,0
123,2022-05-18,1.05796751227e-09,1.72789688716e-09,1.02333885967e-09,1.66666556599e-09,79784.92,0
